LOGGED DATA
VER= 2.00

AUTO DATA                  
  DATE       TIME     FID BACKGROUND        FID CONCENTRATION  
---------  --------  --------------------  --------------------
24 MAR 25  08:13:15     0.0 PPM OK            10.2 PPM OK         
24 MAR 25  08:13:30     0.0 PPM OK            9.8 PPM OK         
24 MAR 25  08:13:45     0.0 PPM OK            10.7 PPM OK         
24 MAR 25  08:14:00     0.0 PPM OK            10.4 PPM OK         
24 MAR 25  08:14:15     0.0 PPM OK            10.8 PPM OK         
24 MAR 25  08:14:30     0.0 PPM OK            10.4 PPM OK         
24 MAR 25  08:14:45     0.0 PPM OK            9.9 PPM OK         
24 MAR 25  08:15:00     0.0 PPM OK            10.1 PPM OK         
24 MAR 25  08:15:15     0.0 PPM OK            10.4 PPM OK         
24 MAR 25  08:15:30     0.0 PPM OK            10.4 PPM OK         
24 MAR 25  08:15:45     0.0 PPM OK            9.3 PPM OK         
24 MAR 25  08:16:00     0.0 PPM OK            10.6 PPM OK         
24 MAR 25  08:16:15     0.0 PPM OK            11.0 PPM OK         
24 MAR 25  08:16:30     0.0 PPM OK            11.1 PPM OK         
24 MAR 25  08:16:45     0.0 PPM OK            10.7 PPM OK         
24 MAR 25  08:17:00     0.0 PPM OK            10.0 PPM OK         
24 MAR 25  08:17:15     0.0 PPM OK            10.1 PPM OK         
24 MAR 25  08:17:30     0.0 PPM OK            10.9 PPM OK         
24 MAR 25  08:17:45     0.0 PPM OK            10.0 PPM OK         
24 MAR 25  08:18:00     0.0 PPM OK            10.6 PPM OK         
24 MAR 25  08:18:15     0.0 PPM OK            11.0 PPM OK         
24 MAR 25  08:18:30     0.0 PPM OK            9.3 PPM OK         
24 MAR 25  08:18:45     0.0 PPM OK            9.5 PPM OK         
24 MAR 25  08:19:00     0.0 PPM OK            10.2 PPM OK         
24 MAR 25  08:19:15     0.0 PPM OK            10.2 PPM OK         
24 MAR 25  08:19:30     0.0 PPM OK            10.0 PPM OK         
24 MAR 25  08:19:45     0.0 PPM OK            10.7 PPM OK         
24 MAR 25  08:20:00     0.0 PPM OK            10.3 PPM OK         
24 MAR 25  08:20:15     0.0 PPM OK            10.4 PPM OK         
24 MAR 25  08:20:30     0.0 PPM OK            10.8 PPM OK         
24 MAR 25  08:20:45     0.0 PPM OK            10.9 PPM OK         
24 MAR 25  08:21:00     0.0 PPM OK            9.6 PPM OK         
24 MAR 25  08:21:15     0.0 PPM OK            10.2 PPM OK         
24 MAR 25  08:21:30     0.0 PPM OK            9.4 PPM OK         
24 MAR 25  08:21:45     0.0 PPM OK            10.1 PPM OK         
24 MAR 25  08:22:00     0.0 PPM OK            10.6 PPM OK         
24 MAR 25  08:22:15     0.0 PPM OK            10.1 PPM OK         
24 MAR 25  08:22:30     0.0 PPM OK            10.0 PPM OK         
24 MAR 25  08:22:45     0.0 PPM OK            10.0 PPM OK         
24 MAR 25  08:23:00     0.0 PPM OK            9.3 PPM OK         
24 MAR 25  08:23:15     0.0 PPM OK            9.5 PPM OK         
24 MAR 25  08:23:30     0.0 PPM OK            10.1 PPM OK         
24 MAR 25  08:23:45     0.0 PPM OK            10.5 PPM OK         
24 MAR 25  08:24:00     0.0 PPM OK            9.9 PPM OK         
24 MAR 25  08:24:15     0.0 PPM OK            10.9 PPM OK         
24 MAR 25  08:24:30     0.0 PPM OK            10.6 PPM OK         
24 MAR 25  08:24:45     0.0 PPM OK            9.5 PPM OK         
24 MAR 25  08:25:00     0.0 PPM OK            10.0 PPM OK         
24 MAR 25  08:25:15     0.0 PPM OK            10.8 PPM OK         
24 MAR 25  08:25:30     0.0 PPM OK            10.1 PPM OK         
24 MAR 25  08:25:45     0.0 PPM OK            11.0 PPM OK         
24 MAR 25  08:26:00     0.0 PPM OK            9.5 PPM OK         
24 MAR 25  08:26:15     0.0 PPM OK            9.8 PPM OK         
24 MAR 25  08:26:30     0.0 PPM OK            10.4 PPM OK         
24 MAR 25  08:26:45     0.0 PPM OK            9.4 PPM OK         
24 MAR 25  08:27:00     0.0 PPM OK            10.0 PPM OK         
24 MAR 25  08:27:15     0.0 PPM OK            10.6 PPM OK         
24 MAR 25  08:27:30     0.0 PPM OK            10.9 PPM OK         
24 MAR 25  08:27:45     0.0 PPM OK            9.9 PPM OK         
24 MAR 25  08:28:00     0.0 PPM OK            9.3 PPM OK         
24 MAR 25  08:28:15     0.0 PPM OK            10.4 PPM OK         
24 MAR 25  08:28:30     0.0 PPM OK            9.8 PPM OK         
24 MAR 25  08:28:45     0.0 PPM OK            10.3 PPM OK         
24 MAR 25  08:29:00     0.0 PPM OK            10.6 PPM OK         
24 MAR 25  08:29:15     0.0 PPM OK            9.9 PPM OK         
24 MAR 25  08:29:30     0.0 PPM OK            10.4 PPM OK         
24 MAR 25  08:29:45     0.0 PPM OK            10.4 PPM OK         
24 MAR 25  08:30:00     0.0 PPM OK            10.6 PPM OK         
24 MAR 25  08:30:15     0.0 PPM OK            11.1 PPM OK         
24 MAR 25  08:30:30     0.0 PPM OK            9.4 PPM OK         
24 MAR 25  08:30:45     0.0 PPM OK            10.8 PPM OK         
24 MAR 25  08:31:00     0.0 PPM OK            10.8 PPM OK         
24 MAR 25  08:31:15     0.0 PPM OK            10.4 PPM OK         
24 MAR 25  08:31:30     0.0 PPM OK            9.8 PPM OK         
24 MAR 25  08:31:45     0.0 PPM OK            10.2 PPM OK         
24 MAR 25  08:32:00     0.0 PPM OK            9.7 PPM OK         
24 MAR 25  08:32:15     0.0 PPM OK            11.0 PPM OK         
24 MAR 25  08:32:30     0.0 PPM OK            10.9 PPM OK         
24 MAR 25  08:32:45     0.0 PPM OK            9.7 PPM OK         
24 MAR 25  08:33:00     0.0 PPM OK            10.7 PPM OK         
24 MAR 25  08:33:15     0.0 PPM OK            10.7 PPM OK         
24 MAR 25  08:33:30     0.0 PPM OK            11.0 PPM OK         
24 MAR 25  08:33:45     0.0 PPM OK            10.2 PPM OK         
24 MAR 25  08:34:00     0.0 PPM OK            10.5 PPM OK         
24 MAR 25  08:34:15     0.0 PPM OK            9.7 PPM OK         
24 MAR 25  08:34:30     0.0 PPM OK            9.6 PPM OK         
24 MAR 25  08:34:45     0.0 PPM OK            10.2 PPM OK         
24 MAR 25  08:35:00     0.0 PPM OK            10.0 PPM OK         
24 MAR 25  08:35:15     0.0 PPM OK            10.4 PPM OK         
24 MAR 25  08:35:30     0.0 PPM OK            10.9 PPM OK         
24 MAR 25  08:35:45     0.0 PPM OK            9.7 PPM OK         
24 MAR 25  08:36:00     0.0 PPM OK            11.0 PPM OK         
24 MAR 25  08:36:15     0.0 PPM OK            10.6 PPM OK         
24 MAR 25  08:36:30     0.0 PPM OK            10.7 PPM OK         
24 MAR 25  08:36:45     0.0 PPM OK            10.5 PPM OK         
24 MAR 25  08:37:00     0.0 PPM OK            9.9 PPM OK         
24 MAR 25  08:37:15     0.0 PPM OK            10.0 PPM OK         
24 MAR 25  08:37:30     0.0 PPM OK            10.2 PPM OK         
24 MAR 25  08:37:45     0.0 PPM OK            10.6 PPM OK         
24 MAR 25  08:38:00     0.0 PPM OK            9.8 PPM OK         
24 MAR 25  08:38:15     0.0 PPM OK            10.2 PPM OK         
24 MAR 25  08:38:30     0.0 PPM OK            9.7 PPM OK         
24 MAR 25  08:38:45     0.0 PPM OK            9.3 PPM OK         
24 MAR 25  08:39:00     0.0 PPM OK            9.7 PPM OK         
24 MAR 25  08:39:15     0.0 PPM OK            9.9 PPM OK         
24 MAR 25  08:39:30     0.0 PPM OK            9.8 PPM OK         
24 MAR 25  08:39:45     0.0 PPM OK            10.7 PPM OK         
24 MAR 25  08:40:00     0.0 PPM OK            9.4 PPM OK         
24 MAR 25  08:40:15     0.0 PPM OK            9.5 PPM OK         
24 MAR 25  08:40:30     0.0 PPM OK            10.0 PPM OK         
24 MAR 25  08:40:45     0.0 PPM OK            10.4 PPM OK         
24 MAR 25  08:41:00     0.0 PPM OK            10.4 PPM OK         
24 MAR 25  08:41:15     0.0 PPM OK            9.4 PPM OK         
24 MAR 25  08:41:30     0.0 PPM OK            10.2 PPM OK         
24 MAR 25  08:41:45     0.0 PPM OK            9.6 PPM OK         
24 MAR 25  08:42:00     0.0 PPM OK            10.7 PPM OK         
24 MAR 25  08:42:15     0.0 PPM OK            10.6 PPM OK         
24 MAR 25  08:42:30     0.0 PPM OK            10.9 PPM OK         
24 MAR 25  08:42:45     0.0 PPM OK            10.1 PPM OK         
24 MAR 25  08:43:00     0.0 PPM OK            9.8 PPM OK         
